,session,code,group,id_in_group,round,arrival,choice,certainty,bonus,strategy,simple,cutoff,fault,payoff,exp
3565,tnn4atf7,p36fkpsr,16,2,1,9.0,0,0.99,-9.21,,,,,0.0,AMT
3566,tnn4atf7,ijt204ql,16,1,2,8.0,1,0.99,-0.01,,,,,0.0,AMT
3567,tnn4atf7,p36fkpsr,16,2,2,8.1,1,0.875,-0.13,,,,,0.0,AMT
3568,tnn4atf7,ijt204ql,16,1,3,9.1,0,0.99,-9.21,"I was hoping we'd both go to the canteen if we got there before 9. Apparently, I was wrong and/or misjudged my partner's arrival time. Thank you. I learned something.",1.0,8.5,1.0,0.0,AMT
3569,tnn4atf7,p36fkpsr,16,2,3,9.0,1,0.75,-2.77,I thougt I was making the logical move but had a bad first move and could never recover,1.0,8.5,2.0,0.0,AMT
3570,tnn4atf7,6ptu5ujp,17,1,1,8.0,1,0.875,-0.13,,,,,4.9,AMT
3571,tnn4atf7,ssukcuow,17,2,1,8.1,1,0.99,-0.01,,,,,5.06,AMT
3572,tnn4atf7,6ptu5ujp,17,1,2,9.0,0,0.5,-1.39,,,,,4.9,AMT
3573,tnn4atf7,ssukcuow,17,2,2,9.1,0,0.99,-0.02,,,,,5.06,AMT
3574,tnn4atf7,6ptu5ujp,17,1,3,8.0,1,0.875,-0.13,,,,,4.9,AMT
3575,tnn4atf7,ssukcuow,17,2,3,8.1,1,0.5,-0.69,,,,,5.06,AMT
3576,tnn4atf7,6ptu5ujp,17,1,4,8.4,1,0.5,-1.39,,,,,4.9,AMT
3577,tnn4atf7,ssukcuow,17,2,4,8.5,0,0.875,-4.16,,,,,5.06,AMT
3578,tnn4atf7,6ptu5ujp,17,1,5,8.0,1,0.5,-0.69,,,,,4.9,AMT
3579,tnn4atf7,ssukcuow,17,2,5,8.1,1,0.99,-0.01,,,,,5.06,AMT
3580,tnn4atf7,6ptu5ujp,17,1,6,8.2,1,0.5,-0.69,,,,,4.9,AMT
3581,tnn4atf7,ssukcuow,17,2,6,8.1,1,0.99,-0.01,,,,,5.06,AMT
3582,tnn4atf7,6ptu5ujp,17,1,7,8.2,1,0.875,-0.13,,,,,4.9,AMT
3583,tnn4atf7,ssukcuow,17,2,7,8.1,1,0.99,-0.01,,,,,5.06,AMT
3584,tnn4atf7,6ptu5ujp,17,1,8,8.5,1,0.875,-0.13,,,,,4.9,AMT
3585,tnn4atf7,ssukcuow,17,2,8,8.4,1,0.99,-0.01,,,,,5.06,AMT
3586,tnn4atf7,6ptu5ujp,17,1,9,8.3,1,0.75,-0.29,,,,,4.9,AMT
3587,tnn4atf7,ssukcuow,17,2,9,8.4,1,0.99,-0.01,,,,,5.06,AMT
3588,tnn4atf7,6ptu5ujp,17,1,10,8.4,1,0.875,-0.13,"Just looking at the time I arrived and then it seemed that ""quite certain"" didn't take as much money away so I used that.",1.0,8.3,,4.9,AMT
